[root@openeuler-riscv64 ~]# run_checks
开始执行检查...
正在执行检查：1.1.1 - 禁止存在无属主或属组的文件或目录
检查 1.1.1 执行完成：成功
正在执行检查：1.1.2 - 禁止存在空链接文件
检查 1.1.2 执行完成：失败
正在执行检查：1.1.3 - 禁止存在隐藏的可执行文件
检查 1.1.3 执行完成：失败
正在执行检查：1.1.4 - 确保全局可写目录已设置sticky位
检查 1.1.4 执行完成：成功
正在执行检查：1.1.5 - 确保UMASK配置正确
检查 1.1.5 执行完成：失败
正在执行检查：1.1.6 - 禁止存在全局可写的文件
检查 1.1.6 执行完成：成功
正在执行检查：1.1.7 - 确保移除不需要的文件系统挂载支持
检查 1.1.7 执行完成：失败
正在执行检查：1.1.8 - 确保无需修改的分区以只读方式挂载
检查 1.1.8 执行完成：成功
正在执行检查：1.1.9 - 确保无需挂载设备的分区以nodev方式挂载
检查 1.1.9 执行完成：成功
正在执行检查：1.1.10 - 确保无可执行文件的分区以noexec方式挂载
检查 1.1.10 执行完成：成功
正在执行检查：1.1.11 - 确保可移动设备分区以noexec、nodev方式挂载
检查 1.1.11 执行完成：成功
正在执行检查：1.1.12 - 确保无需SUID/SGID的分区以nosuid方式挂载
检查 1.1.12 执行完成：成功
正在执行检查：1.1.13 - 确保删除文件不必要的SUID和SGID位
检查 1.1.13 执行完成：失败
正在执行检查：1.1.14 - 确保关键文件、目录权限最小化
检查 1.1.14 执行完成：成功
正在执行检查：1.1.15 - 确保用户可打开文件数量配置正确
检查 1.1.15 执行完成：成功
正在执行检查：1.1.16 - 确保软、硬链接文件保护配置正确
检查 1.1.16 执行完成：成功
正在执行检查：1.1.17 - 避免使用USB存储
检查 1.1.17 执行完成：失败
正在执行检查：1.1.18 - 应当分区管理硬盘数据
检查 1.1.18 执行完成：失败
正在执行检查：1.1.19 - 确保LD_LIBRARY_PATH变量定义正确
检查 1.1.19 执行完成：成功
正在执行检查：1.1.20 - 确保用户PATH变量被严格定义
检查 1.1.20 执行完成：成功
正在执行检查：1.2.1 - 禁止安装FTP客户端
检查 1.2.1 执行完成：成功
正在执行检查：1.2.2 - 禁止安装TFTP客户端
检查 1.2.2 执行完成：成功
正在执行检查：1.2.3 - 禁止安装Telnet客户端
检查 1.2.3 执行完成：成功
正在执行检查：1.2.4 - 禁止安装不安全的SNMP协议版本
检查 1.2.4 执行完成：成功
正在执行检查：1.2.5 - 禁止安装python2
检查 1.2.5 执行完成：成功
正在执行检查：1.2.6 - 确保yum源配置GPG校验
检查 1.2.6 执行完成：失败
